Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,98-0-0-0,C,backend.commands.define.c,10,265,1,9,11,2,3,8,0,0,2,2,"[3078, 3080, 3088, 3093, 3100, 3105, 3111, 3116, 3124]"
98-0-0-0,98-1-0-0,F,case_translate_language_name,1,1,54,1,2,1,2,0,0,0,1,1,[3078]
98-1-0-0,98-1-3078-1,D,Assignment,1,1,54,0,2,1,2,0,0,0,1,1,[]
98-0-0-0,98-2-0-0,F,defGetString,2,31,64,1,1,0,0,1,0,0,0,0,[3080]
98-2-0-0,98-2-3080-1,B,if,0,5,64,0,0,0,0,0,0,0,0,0,[]
98-2-0-0,98-2-3080-2,B,if-else/switch,3,25,69,6,1,0,0,1,0,0,0,0,"[3081, 3082, 3083, 3084, 3085, 3086]"
98-2-3080-2,98-2-3082-1,D,Assignment,1,1,84,0,1,0,1,0,0,0,0,0,[]
98-2-3080-2,98-2-3083-1,D,Assignment,1,1,86,0,1,0,1,0,0,0,0,0,[]
98-2-3080-2,98-2-3086-1,D,Assignment,1,1,92,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-3-0-0,F,defGetNumeric,2,18,103,1,1,0,0,1,0,0,0,0,[3088]
98-3-0-0,98-3-3088-1,B,if,0,5,103,0,0,0,0,0,0,0,0,0,[]
98-3-0-0,98-3-3088-2,B,if-else/switch,3,12,108,3,1,0,0,1,0,0,0,0,"[3089, 3090, 3091]"
98-3-3088-2,98-3-3089-1,D,Assignment,1,1,111,0,1,0,1,0,0,0,0,0,[]
98-3-3088-2,98-3-3090-1,D,Assignment,1,1,113,0,1,0,1,0,0,0,0,0,[]
98-3-3088-2,98-3-3091-1,D,Assignment,1,4,115,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-4-0-0,F,defGetBoolean,3,37,132,1,1,0,0,1,0,0,0,0,[3093]
98-4-0-0,98-4-3093-1,B,if,0,2,132,0,0,0,0,0,0,0,0,0,[]
98-4-0-0,98-4-3093-2,B,if-else/switch,1,26,138,2,0,0,0,0,0,0,0,0,"[3094, 3098]"
98-4-3093-2,98-4-3094-1,B,if-else/switch,0,10,141,3,0,0,0,0,0,0,0,0,"[3095, 3096, 3097]"
98-4-0-0,98-4-3093-3,D,Assignment,1,4,164,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-5-0-0,F,defGetInt64,2,25,177,1,1,0,0,1,0,0,0,0,[3100]
98-5-0-0,98-5-3100-1,B,if,0,5,177,0,0,0,0,0,0,0,0,0,[]
98-5-0-0,98-5-3100-2,B,if-else/switch,2,19,182,3,1,0,0,1,0,0,0,0,"[3101, 3102, 3103]"
98-5-3100-2,98-5-3101-1,D,Assignment,1,1,185,0,1,0,1,0,0,0,0,0,[]
98-5-3100-2,98-5-3103-1,D,Assignment,1,4,196,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-6-0-0,F,defGetQualifiedName,2,21,210,1,1,0,0,1,0,0,0,0,[3105]
98-6-0-0,98-6-3105-1,B,if,0,5,210,0,0,0,0,0,0,0,0,0,[]
98-6-0-0,98-6-3105-2,B,if-else/switch,4,15,215,4,1,0,0,1,0,0,0,0,"[3106, 3107, 3108, 3109]"
98-6-3105-2,98-6-3106-1,D,Assignment,1,1,218,0,1,0,1,0,0,0,0,0,[]
98-6-3105-2,98-6-3107-1,D,Assignment,1,1,220,0,1,0,1,0,0,0,0,0,[]
98-6-3105-2,98-6-3108-1,D,Assignment,1,1,223,0,1,0,1,0,0,0,0,0,[]
98-6-3105-2,98-6-3109-1,D,Assignment,1,4,225,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-7-0-0,F,defGetTypeName,2,19,242,1,1,0,0,1,0,0,0,0,[3111]
98-7-0-0,98-7-3111-1,B,if,0,5,242,0,0,0,0,0,0,0,0,0,[]
98-7-0-0,98-7-3111-2,B,if-else/switch,2,13,247,3,1,0,0,1,0,0,0,0,"[3112, 3113, 3114]"
98-7-3111-2,98-7-3112-1,D,Assignment,1,1,250,0,1,0,1,0,0,0,0,0,[]
98-7-3111-2,98-7-3114-1,D,Assignment,1,4,255,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-8-0-0,F,defGetTypeLength,3,36,270,1,2,0,0,2,0,0,0,0,[3116]
98-8-0-0,98-8-3116-1,B,if,0,5,270,0,0,0,0,0,0,0,0,0,[]
98-8-0-0,98-8-3116-2,B,if-else/switch,5,26,275,6,1,0,0,1,0,0,0,0,"[3117, 3118, 3119, 3120, 3121, 3122]"
98-8-3116-2,98-8-3117-1,D,Assignment,1,1,278,0,1,0,1,0,0,0,0,0,[]
98-8-3116-2,98-8-3118-1,D,Assignment,1,4,280,0,1,0,0,1,0,0,0,0,[]
98-8-3116-2,98-8-3119-1,B,if,0,2,286,0,0,0,0,0,0,0,0,0,[]
98-8-3116-2,98-8-3120-1,B,if,0,3,291,0,0,0,0,0,0,0,0,0,[]
98-8-3116-2,98-8-3122-1,D,Assignment,1,1,299,0,1,0,0,1,0,0,0,0,[]
98-8-0-0,98-8-3116-3,D,Assignment,1,4,301,0,1,0,0,1,0,0,0,0,[]
98-0-0-0,98-9-0-0,F,defWithOids,1,1,314,1,1,1,1,0,0,0,1,1,[3124]
98-9-0-0,98-9-3124-1,D,Assignment,1,1,314,0,1,1,1,0,0,0,1,1,[]
