Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,99-0-0-0,C,backend.commands.discard.c,3,48,1,2,2,3,1,1,0,0,3,3,"[3128, 3134]"
99-0-0-0,99-1-0-0,F,DiscardCommand,1,17,33,1,1,0,0,1,0,0,0,0,[3128]
99-1-0-0,99-1-3128-1,B,if-else/switch,3,17,33,4,1,0,0,1,0,0,0,0,"[3129, 3130, 3131, 3132]"
99-1-3128-1,99-1-3129-1,D,Assignment,1,1,36,0,0,1,0,0,0,1,0,1,[]
99-1-3128-1,99-1-3131-1,D,Assignment,1,1,44,0,0,1,0,0,0,0,1,1,[]
99-1-3128-1,99-1-3132-1,D,Assignment,1,1,48,0,1,0,0,1,0,0,0,0,[]
99-0-0-0,99-2-0-0,F,DiscardAll,3,10,62,1,1,3,1,0,0,0,3,3,[3134]
99-2-0-0,99-2-3134-1,D,Assignment,1,1,62,0,1,1,1,0,0,0,1,1,[]
99-2-0-0,99-2-3134-2,D,Assignment,1,1,68,0,0,1,0,0,0,0,1,1,[]
99-2-0-0,99-2-3134-3,D,Assignment,1,1,71,0,0,1,0,0,0,0,1,1,[]
